Metric	6-gene	7-gene	wgSNP	cgMLST	N
Common taxa for comparison	619	619	619	614	619
Mantel rho (vs wgSNP)	0.9449	0.9334	ref	n/a	619
RF distance (vs wgSNP)	1188	1194	ref	n/a	619
Norm. RF (vs wgSNP)	0.9643	0.9692	ref	n/a	619
CID (vs wgSNP)	0.9844	0.9923	ref	n/a	619
Internal nodes	80	64	591	n/a	619
Resolution Index (%)	100	99.8	100	n/a	619
Median bootstrap (%)	64.5	63.5	100	n/a	619
Nodes BS>=70 (%)	46.3	43.8	82.7	n/a	619
PIS (n)	136	88	n/a	n/a	619
PIS (%)	4.51	3.17	n/a	n/a	619
Alignment length (bp)	3015	2780	n/a	n/a	619
Distinct types (n)	58	39	n/a	321	613
Simpson D	0.5982	0.6083	n/a	0.9869	613
Simpson D 95% CI low	0.5532	0.5642	n/a	0.9832	613
Simpson D 95% CI high	0.6432	0.6523	n/a	0.9905	613
ARI 6-gene vs 7-gene	0.8638	0.8638	n/a	n/a	613
AW cgMLST -> scheme	0.9214	0.9907	n/a	ref	613
ARI vs cgMLST cluster (type level)	0.8861	0.9342	n/a	ref	466
ARI vs cgMLST cluster 95% CI low	0.8382	0.8947	n/a	ref	466
ARI vs cgMLST cluster 95% CI high	0.9247	0.9667	n/a	ref	466
AW scheme -> cgMLST cluster	0.9268	0.9972	n/a	ref	466
ARI vs cgMLST cluster (complex level)	0.9192	0.7573	n/a	ref	466
NRCS-A single type sensitivity (%)	97	97.3	n/a	ref	466
NRCS-A single type specificity (%)	96.9	100	n/a	ref	466
NRCS-A single type PPV (%)	98.8	100	n/a	ref	466
NRCS-A clonal complex sensitivity (%)	100	99.4	n/a	ref	466
NRCS-A clonal complex specificity (%)	92.3	74.6	n/a	ref	466
L-clone sensitivity (%)	100	100	n/a	ref	619
L-clone specificity (%)	98	100	n/a	ref	619
L-clone PPV (%)	61.3	100	n/a	ref	619
L-clone n	19	19	n/a	19	619
